,Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen
45,1,54.33,6.75,1,1,Energy,Black,2.625,1,1,11,1,ByBirth
46,0,41.0,2.04,0,0,Materials,Black,0.125,1,1,23,1,ByBirth
47,1,31.92,4.46,1,1,InformationTechnology,Black,6.04,1,1,3,0,ByBirth
48,1,41.5,1.54,1,1,ConsumerDiscretionary,Asian,3.5,0,0,0,0,ByBirth
49,1,23.92,0.665,1,1,Energy,White,0.165,0,0,0,0,ByBirth
50,0,25.75,0.5,1,1,Energy,Black,0.875,1,0,0,1,ByBirth
51,1,26.0,1.0,1,1,Materials,White,1.75,1,0,0,1,ByBirth
52,1,37.42,2.04,1,1,Industrials,White,0.04,1,0,0,1,ByBirth
53,1,34.92,2.5,1,1,Industrials,White,0.0,1,0,0,1,ByBirth
54,1,34.25,3.0,1,1,InformationTechnology,Black,7.415,1,0,0,1,ByBirth
55,1,23.33,11.625,0,0,Industrials,White,0.835,1,0,0,1,ByBirth
56,1,23.17,0.0,1,1,InformationTechnology,White,0.085,1,0,0,0,ByBirth
57,1,44.33,0.5,1,1,ConsumerDiscretionary,Black,5.0,1,0,0,1,ByBirth
58,1,35.17,4.5,1,1,Utilities,Black,5.75,0,0,0,1,ByOtherMeans
59,1,43.25,3.0,1,1,Materials,Black,6.0,1,1,11,0,ByBirth
60,1,56.75,12.25,1,1,CommunicationServices,White,1.25,1,1,4,1,ByBirth
61,1,31.67,16.165,1,1,Real Estate,White,3.0,1,1,9,0,ByBirth
62,0,23.42,0.79,0,0,Materials,White,1.5,1,1,2,1,ByBirth
63,0,20.42,0.835,1,1,Materials,White,1.585,1,1,1,0,ByBirth
64,1,26.67,4.25,1,1,InformationTechnology,White,4.29,1,1,1,1,ByBirth
65,1,34.17,1.54,1,1,InformationTechnology,White,1.54,1,1,1,1,ByBirth
66,0,36.0,1.0,1,1,Energy,White,2.0,1,1,11,0,ByBirth
67,1,25.5,0.375,1,1,CommunicationServices,White,0.25,1,1,3,0,ByBirth
68,1,19.42,6.5,1,1,Industrials,Black,1.46,1,1,7,0,ByBirth
69,1,35.17,25.125,1,1,Utilities,Black,1.625,1,1,1,1,ByBirth
70,1,32.33,7.5,1,1,Education,Asian,1.585,1,0,0,1,ByOtherMeans
71,1,34.83,4.0,1,1,Real Estate,Asian,12.5,1,0,0,1,ByBirth
72,0,38.58,5.0,1,1,InformationTechnology,White,13.5,1,0,0,1,ByBirth
73,1,44.25,0.5,1,1,CommunicationServices,White,10.75,1,0,0,0,ByOtherMeans
74,1,44.83,7.0,0,0,Energy,White,1.625,0,0,0,0,ByBirth
75,1,20.67,5.29,1,1,Materials,White,0.375,1,1,1,0,ByBirth
76,1,34.08,6.5,1,1,ConsumerStaples,White,0.125,1,0,0,1,ByBirth
77,0,19.17,0.585,0,0,ConsumerStaples,White,0.585,1,0,0,1,ByBirth
78,1,21.67,1.165,0,0,Financials,White,2.5,1,1,1,0,ByBirth
79,1,21.5,9.75,1,1,Energy,White,0.25,1,0,0,0,ByBirth
80,1,49.58,19.0,1,1,Healthcare,Latino,0.0,1,1,1,0,ByBirth
81,0,27.67,1.5,1,1,CommunicationServices,White,2.0,1,0,0,0,ByOtherMeans
82,1,39.83,0.5,1,1,CommunicationServices,White,0.25,1,0,0,0,ByOtherMeans
83,0,28.46,3.5,1,1,Real Estate,White,3.0,1,0,0,1,ByBirth
84,1,27.25,0.625,1,1,ConsumerStaples,White,0.455,1,0,0,1,ByBirth
85,1,37.17,4.0,1,1,Energy,Asian,5.0,1,0,0,1,ByOtherMeans
86,1,28.46,0.375,1,1,Real Estate,White,0.875,1,0,0,1,ByOtherMeans
87,1,25.67,2.21,0,0,ConsumerStaples,White,4.0,1,0,0,0,ByBirth
88,1,34.0,4.5,1,1,ConsumerStaples,White,1.0,1,0,0,1,ByBirth
89,0,49.0,1.5,1,1,Research,Other,0.0,1,0,0,1,ByBirth
90,1,62.5,12.75,0,0,Energy,Black,5.0,1,0,0,0,ByBirth
91,1,31.42,15.5,1,1,Energy,White,0.5,1,0,0,0,ByBirth
92,1,28.46,5.0,0,0,ConsumerStaples,White,8.5,1,0,0,0,ByBirth
93,1,52.33,1.375,0,0,Energy,Black,9.46,1,0,0,1,ByBirth
94,1,28.75,1.5,0,0,Energy,White,1.5,1,0,0,1,ByBirth
95,0,28.58,3.54,1,1,ConsumerDiscretionary,Asian,0.5,1,0,0,1,ByBirth
96,1,23.0,0.625,0,0,ConsumerStaples,White,0.125,1,0,0,0,ByBirth
97,1,28.46,0.5,1,1,Energy,Asian,0.835,1,0,0,1,ByOtherMeans
98,0,22.5,11.0,0,0,Materials,White,3.0,1,0,0,1,ByBirth
99,0,28.5,1.0,1,1,Materials,White,1.0,1,1,2,1,ByBirth
100,1,37.5,1.75,0,0,Energy,Asian,0.25,1,0,0,1,ByBirth
101,1,35.25,16.5,0,0,Energy,White,4.0,1,0,0,0,ByBirth
102,1,18.67,5.0,1,1,Materials,White,0.375,1,1,2,0,ByBirth
103,1,25.0,12.0,1,1,Financials,White,2.25,1,1,2,1,ByBirth
104,1,27.83,4.0,0,0,ConsumerDiscretionary,Black,5.75,1,1,2,1,ByBirth
105,1,54.83,15.5,1,1,Education,Other,0.0,1,1,20,0,ByBirth
106,1,28.75,1.165,1,1,Financials,White,0.5,1,0,0,0,ByOtherMeans
107,0,25.0,11.0,0,0,ConsumerStaples,White,4.5,1,0,0,0,ByBirth
108,1,40.92,2.25,0,0,Utilities,Black,10.0,1,0,0,1,ByBirth
109,0,19.75,0.75,1,1,Energy,White,0.795,1,1,5,1,ByBirth
110,1,29.17,3.5,1,1,Industrials,White,3.5,1,1,3,1,ByBirth
111,0,24.5,1.04,0,0,Healthcare,Latino,0.5,1,1,3,0,ByBirth
112,1,24.58,12.5,1,1,Industrials,White,0.875,1,0,0,1,ByBirth
113,0,33.75,0.75,1,1,Financials,Asian,1.0,1,1,3,1,ByBirth
114,1,20.67,1.25,0,0,Energy,Black,1.375,1,1,3,1,ByBirth
115,0,25.42,1.125,1,1,Materials,White,1.29,1,1,2,0,ByBirth
116,1,37.75,7.0,1,1,Materials,Black,11.5,1,1,7,1,ByBirth
117,1,52.5,6.5,1,1,Financials,White,6.29,1,1,15,0,ByBirth
118,1,57.83,7.04,1,1,CommunicationServices,White,14.0,1,1,6,1,ByBirth
119,0,20.75,10.335,1,1,InformationTechnology,Black,0.335,1,1,1,1,ByBirth
120,1,39.92,6.21,1,1,Materials,White,0.04,1,1,1,0,ByBirth
121,1,25.67,12.5,1,1,InformationTechnology,White,1.21,1,1,67,1,ByBirth
122,0,24.75,12.5,1,1,ConsumerStaples,White,1.5,1,1,12,1,ByBirth
123,0,44.17,6.665,1,1,Materials,White,7.375,1,1,3,1,ByBirth
124,0,23.5,9.0,1,1,Materials,White,8.5,1,1,5,1,ByBirth
125,1,34.92,5.0,1,1,Utilities,Black,7.5,1,1,6,1,ByBirth
126,1,47.67,2.5,1,1,CommunicationServices,Asian,2.5,1,1,12,1,ByBirth
127,1,22.75,11.0,1,1,Materials,White,2.5,1,1,7,1,ByBirth
128,1,34.42,4.25,1,1,ConsumerDiscretionary,Asian,3.25,1,1,2,0,ByBirth
129,0,28.42,3.5,1,1,Industrials,White,0.835,1,0,0,0,ByOtherMeans
130,1,67.75,5.5,1,1,Education,Other,13.0,1,1,1,1,ByBirth
131,1,20.42,1.835,1,1,Energy,White,2.25,1,1,1,0,ByBirth
132,0,47.42,8.0,1,1,Education,Asian,6.5,1,1,6,0,ByBirth
133,1,36.25,5.0,1,1,Energy,Asian,2.5,1,1,6,0,ByBirth
134,1,32.67,5.5,1,1,Materials,Black,5.5,1,1,12,1,ByBirth
135,1,48.58,6.5,1,1,Materials,Black,6.0,1,0,0,1,ByBirth
136,1,39.92,0.54,0,0,ConsumerStaples,White,0.5,1,1,3,0,ByBirth
137,1,33.58,2.75,1,1,CommunicationServices,White,4.25,1,1,6,0,ByBirth
138,0,18.83,9.5,1,1,Industrials,White,1.625,1,1,6,1,ByBirth
139,0,26.92,13.5,1,1,Materials,Black,5.0,1,1,2,0,ByBirth
140,0,31.25,3.75,1,1,InformationTechnology,Black,0.625,1,1,9,1,ByBirth
141,0,56.5,16.0,1,1,Research,Latino,0.0,1,1,15,0,ByBirth
142,1,43.0,0.29,0,0,InformationTechnology,Black,1.75,1,1,8,0,ByBirth
143,1,22.33,11.0,1,1,Industrials,White,2.0,1,1,1,0,ByBirth
144,1,27.25,1.665,1,1,InformationTechnology,Black,5.085,1,1,9,0,ByBirth
145,1,32.83,2.5,1,1,InformationTechnology,Black,2.75,1,1,6,0,ByBirth
146,1,23.25,1.5,1,1,Materials,White,2.375,1,1,3,1,ByBirth
147,0,40.33,7.54,0,0,Materials,Black,8.0,1,1,14,0,ByBirth
148,0,30.5,6.5,1,1,Energy,Asian,4.0,1,1,7,1,ByBirth
149,0,52.83,15.0,1,1,Energy,White,5.5,1,1,14,0,ByBirth
150,0,46.67,0.46,1,1,InformationTechnology,Black,0.415,1,1,11,1,ByBirth
151,0,58.33,10.0,1,1,Materials,White,4.0,1,1,14,0,ByBirth
152,1,37.33,6.5,1,1,CommunicationServices,Black,4.25,1,1,12,1,ByBirth
153,1,23.08,2.5,1,1,Energy,White,1.085,1,1,11,1,ByBirth
154,1,32.75,1.5,1,1,InformationTechnology,Black,5.5,1,1,3,1,ByBirth
155,0,21.67,11.5,0,0,Research,Other,0.0,1,1,11,1,ByBirth
156,0,28.5,3.04,0,0,Utilities,Black,2.54,1,1,1,0,ByBirth
157,0,68.67,15.0,1,1,Education,Other,0.0,1,1,14,0,ByBirth
158,1,28.0,2.0,1,1,Financials,Black,4.165,1,1,2,1,ByBirth
159,1,34.08,0.08,0,0,CommunicationServices,Asian,0.04,1,1,1,1,ByBirth
160,1,27.67,2.0,1,1,Utilities,Black,1.0,1,1,4,0,ByBirth
161,1,44.0,2.0,1,1,CommunicationServices,White,1.75,1,1,2,1,ByBirth
162,1,25.08,1.71,1,1,Utilities,White,1.665,1,1,1,1,ByBirth
163,1,32.0,1.75,0,0,Education,Black,0.04,1,0,0,1,ByBirth
164,0,60.58,16.5,1,1,Materials,White,11.0,1,0,0,1,ByBirth
165,0,40.83,10.0,1,1,Materials,Black,1.75,1,0,0,0,ByBirth
166,1,19.33,9.5,1,1,Materials,White,1.0,1,0,0,1,ByBirth
167,0,32.33,0.54,1,1,InformationTechnology,White,0.04,1,0,0,0,ByBirth
168,1,36.67,3.25,1,1,Materials,Black,9.0,1,0,0,1,ByBirth
169,1,37.5,1.125,0,0,Real Estate,White,1.5,0,0,0,1,ByBirth
170,0,25.08,2.54,0,0,ConsumerStaples,White,0.25,1,0,0,1,ByBirth
171,1,41.33,0.0,1,1,Energy,Asian,15.0,1,0,0,0,ByBirth
172,1,56.0,12.5,1,1,Financials,Black,8.0,1,0,0,1,ByBirth
173,0,49.83,13.585,1,1,Financials,Black,8.5,1,0,0,1,ByBirth
174,1,22.67,10.5,1,1,Materials,Black,1.335,1,0,0,0,ByBirth
175,1,27.0,1.5,0,0,Industrials,White,0.375,1,0,0,1,ByBirth
176,1,25.0,12.5,1,1,ConsumerStaples,White,3.0,1,0,0,1,ByOtherMeans
177,0,26.08,8.665,1,1,ConsumerStaples,White,1.415,1,0,0,0,ByBirth
178,0,18.42,9.25,1,1,Materials,White,1.21,1,1,4,0,ByBirth
179,1,20.17,8.17,1,1,ConsumerStaples,White,1.96,1,1,14,0,ByBirth
180,1,47.67,0.29,1,1,Energy,Asian,15.0,1,1,20,0,ByBirth
181,0,21.25,2.335,1,1,ConsumerDiscretionary,Asian,0.5,1,1,4,0,ByOtherMeans
182,0,20.67,3.0,1,1,Materials,White,0.165,1,1,3,0,ByBirth
183,0,57.08,19.5,1,1,Energy,White,5.5,1,1,7,0,ByBirth
184,0,22.42,5.665,1,1,Materials,White,2.585,1,1,7,0,ByBirth
185,1,48.75,8.5,1,1,Energy,Black,12.5,1,1,9,0,ByBirth
186,1,40.0,6.5,1,1,ConsumerStaples,Asian,3.5,1,1,1,0,ByBirth
187,1,40.58,5.0,1,1,Energy,White,5.0,1,1,7,0,ByBirth
188,0,28.67,1.04,1,1,Energy,White,2.5,1,1,5,1,ByBirth
189,0,33.08,4.625,1,1,Materials,Black,1.625,1,1,2,0,ByBirth
190,1,21.33,10.5,1,1,Energy,White,3.0,1,0,0,1,ByBirth
191,1,42.0,0.205,1,1,ConsumerDiscretionary,Black,5.125,1,0,0,0,ByBirth
192,1,41.75,0.96,1,1,Utilities,White,2.5,1,0,0,0,ByBirth
193,1,22.67,1.585,0,0,Industrials,White,3.085,1,1,6,0,ByBirth
194,1,34.5,4.04,0,0,ConsumerDiscretionary,Asian,8.5,1,1,7,1,ByBirth
195,1,28.25,5.04,0,0,Energy,Asian,1.5,1,1,8,1,ByBirth
196,1,33.17,3.165,0,0,Utilities,White,3.165,1,1,3,1,ByBirth
197,1,48.17,7.625,1,1,Industrials,Black,15.5,1,1,12,0,ByBirth
198,1,27.58,2.04,0,0,ConsumerStaples,White,2.0,1,1,3,1,ByBirth
199,1,22.58,10.04,1,1,Utilities,White,0.04,1,1,9,0,ByBirth
200,0,24.08,0.5,1,1,Materials,Black,1.25,1,1,1,0,ByBirth
201,0,41.33,1.0,1,1,ConsumerDiscretionary,Asian,2.25,1,0,0,1,ByBirth
202,1,24.83,2.75,1,1,Energy,White,2.25,1,1,6,0,ByBirth
203,0,20.75,10.25,1,1,Materials,White,0.71,1,1,2,1,ByBirth
204,1,36.33,2.125,0,0,Industrials,White,0.085,1,1,1,0,ByBirth
205,0,35.42,12.0,1,1,Materials,Black,14.0,1,1,8,0,ByBirth
206,0,71.58,0.0,1,1,Energy,White,0.0,0,0,0,0,Temporary
207,1,28.67,9.335,1,1,Materials,Black,5.665,1,1,6,0,ByBirth
208,1,35.17,2.5,1,1,Financials,White,4.5,1,1,7,0,ByBirth
209,1,39.5,4.25,1,1,Energy,Asian,6.5,1,1,16,0,ByBirth
210,1,39.33,5.875,1,1,InformationTechnology,Black,10.0,1,1,14,1,ByBirth
211,1,24.33,6.625,0,0,Real Estate,White,5.5,1,0,0,1,ByOtherMeans
212,1,60.08,14.5,1,1,Healthcare,Latino,18.0,1,1,15,1,ByBirth
213,1,23.08,11.5,1,1,ConsumerDiscretionary,White,3.5,1,1,9,0,ByBirth
214,1,26.67,2.71,0,0,InformationTechnology,White,5.25,1,1,1,0,ByBirth
215,1,48.17,3.5,1,1,ConsumerStaples,White,3.5,1,0,0,0,ByOtherMeans
216,1,41.17,4.04,1,1,InformationTechnology,Black,7.0,1,1,8,0,ByBirth
217,1,55.92,11.5,1,1,Healthcare,Latino,5.0,1,1,5,0,ByBirth
218,1,53.92,9.625,1,1,Education,White,8.665,1,1,5,0,ByBirth
219,0,18.92,9.25,0,0,Energy,White,1.0,1,1,4,1,ByBirth
220,0,50.08,12.54,1,1,ConsumerStaples,White,2.29,1,1,3,1,ByBirth
221,1,65.42,11.0,1,1,Education,Other,20.0,1,1,7,1,ByBirth
222,0,17.58,9.0,1,1,ConsumerStaples,White,1.375,1,0,0,1,ByBirth
223,0,18.83,9.54,1,1,ConsumerStaples,White,0.085,1,0,0,0,ByBirth
224,0,37.75,5.5,1,1,Materials,White,0.125,1,0,0,1,ByBirth
225,1,23.25,4.0,1,1,Energy,Asian,0.25,1,0,0,1,ByBirth
226,1,18.08,5.5,1,1,Financials,White,0.5,1,0,0,0,ByBirth
227,0,22.5,8.46,0,0,Utilities,White,2.46,0,0,0,0,ByBirth
228,1,19.67,0.375,1,1,Materials,White,2.0,1,1,2,1,ByBirth
229,1,22.08,11.0,1,1,InformationTechnology,White,0.665,1,0,0,0,ByBirth
230,1,25.17,3.5,1,1,InformationTechnology,White,0.625,1,1,7,0,ByBirth
231,0,47.42,3.0,1,1,Utilities,White,13.875,1,1,2,1,ByBirth
232,1,33.5,1.75,1,1,Utilities,Black,4.5,1,1,4,1,ByBirth
233,1,27.67,13.75,1,1,Industrials,White,5.75,1,0,0,1,ByBirth
234,0,58.42,21.0,1,1,ConsumerDiscretionary,Asian,10.0,1,1,13,0,ByBirth
235,0,20.67,1.835,1,1,Materials,White,2.085,1,1,5,0,ByBirth
236,1,26.17,0.25,1,1,ConsumerDiscretionary,Asian,0.0,1,0,0,1,ByBirth
237,1,21.33,7.5,1,1,ConsumerStaples,White,1.415,1,1,1,0,ByBirth
238,1,42.83,4.625,1,1,Materials,White,4.58,1,0,0,0,ByOtherMeans
239,1,38.17,10.125,1,1,Utilities,White,2.5,1,1,6,0,ByBirth
240,1,20.5,10.0,0,0,Energy,White,2.5,1,0,0,0,ByOtherMeans
241,1,48.25,25.085,1,1,Industrials,White,1.75,1,1,3,0,ByBirth
242,1,28.33,5.0,1,1,Industrials,White,11.0,1,0,0,1,ByBirth
243,0,18.75,7.5,1,1,Materials,White,2.71,1,1,5,0,ByBirth
244,1,18.5,2.0,1,1,ConsumerDiscretionary,White,1.5,1,1,2,0,ByBirth
245,1,33.17,3.04,0,0,Energy,Black,2.04,1,1,1,1,ByBirth
246,1,45.0,8.5,1,1,InformationTechnology,Black,14.0,1,1,1,1,ByBirth
247,0,19.67,0.21,1,1,Materials,Black,0.29,1,1,11,0,ByBirth
248,1,24.5,12.75,1,1,Energy,Asian,4.75,1,1,2,0,ByBirth
249,1,21.83,11.0,1,1,Utilities,White,0.29,1,1,6,0,ByBirth
250,1,40.25,21.5,1,1,Education,Other,20.0,1,1,11,0,ByBirth
251,1,41.42,5.0,1,1,Materials,Black,5.0,1,1,6,1,ByBirth
252,0,17.83,11.0,1,1,Utilities,Black,1.0,1,1,11,0,ByBirth
253,1,23.17,11.125,1,1,Utilities,Black,0.46,1,1,1,0,ByBirth
254,1,28.46,0.625,1,1,Financials,White,0.25,0,0,0,0,ByBirth
255,1,18.17,10.25,1,1,Energy,Black,1.085,0,0,0,0,ByBirth
256,1,20.0,11.045,1,1,Energy,White,2.0,0,0,0,1,ByBirth
257,1,20.0,0.0,1,1,Real Estate,White,0.5,0,0,0,0,ByBirth
258,0,20.75,9.54,1,1,ConsumerDiscretionary,White,0.04,0,0,0,0,ByBirth
259,0,24.5,1.75,0,0,Energy,White,0.165,0,0,0,0,ByBirth
260,1,32.75,2.335,1,1,Real Estate,Black,5.75,0,0,0,1,ByBirth
261,0,52.17,0.0,0,0,Healthcare,Latino,0.0,0,0,0,0,ByBirth
262,0,48.17,1.335,1,1,ConsumerDiscretionary,Other,0.335,0,0,0,0,ByBirth
263,0,20.42,10.5,0,0,Utilities,Black,0.0,0,0,0,1,ByBirth
264,1,50.75,0.585,1,1,Healthcare,Latino,0.0,0,0,0,0,ByBirth
265,1,17.08,0.085,0,0,Energy,White,0.04,0,0,0,0,ByBirth
266,1,18.33,1.21,0,0,Education,Other,0.0,0,0,0,0,ByBirth
267,0,32.0,6.0,1,1,Real Estate,White,1.25,0,0,0,0,ByBirth
268,1,59.67,1.54,1,1,Materials,White,0.125,1,0,0,1,ByBirth
269,1,18.0,0.165,1,1,Materials,Other,0.21,0,0,0,0,ByBirth
270,1,37.58,0.0,1,1,Energy,White,0.0,0,0,0,0,Temporary
271,1,32.33,2.5,1,1,Energy,White,1.25,0,0,0,1,ByBirth
272,1,18.08,6.75,0,0,CommunicationServices,White,0.04,0,0,0,0,ByBirth
273,1,38.25,10.125,0,0,Financials,White,0.125,0,0,0,0,ByBirth
274,1,30.67,2.5,1,1,InformationTechnology,Black,2.25,0,0,0,1,ByOtherMeans
275,1,18.58,5.71,1,1,Real Estate,White,0.54,0,0,0,0,ByBirth
276,0,19.17,5.415,1,1,ConsumerDiscretionary,Black,0.29,0,0,0,0,ByBirth
277,0,18.17,10.0,0,0,Materials,Black,0.165,0,0,0,0,ByBirth
278,1,24.58,13.5,0,0,Healthcare,Latino,0.0,0,0,0,0,ByBirth
279,1,16.25,0.835,1,1,CommunicationServices,White,0.085,1,0,0,0,ByOtherMeans
280,1,21.17,0.875,0,0,Energy,Black,0.25,0,0,0,0,ByBirth
281,1,23.92,0.585,0,0,InformationTechnology,Black,0.125,0,0,0,0,ByBirth
282,1,17.67,4.46,1,1,Energy,White,0.25,0,0,0,0,ByOtherMeans
283,0,16.5,1.25,1,1,Materials,White,0.25,0,1,1,0,ByBirth
284,1,23.25,12.625,1,1,Energy,White,0.125,0,1,2,0,ByBirth
285,1,17.58,10.0,1,1,Industrials,Black,0.165,0,1,1,0,ByBirth
286,0,28.46,1.5,1,1,Healthcare,Latino,0.0,0,1,2,1,ByBirth
287,1,29.5,0.58,1,1,Industrials,White,0.29,0,1,1,0,ByBirth
288,1,18.83,0.415,0,0,Energy,White,0.165,0,1,1,0,ByBirth
289,0,21.75,1.75,0,0,Research,Other,0.0,0,0,0,0,ByBirth
290,1,23.0,0.75,1,1,CommunicationServices,White,0.5,0,0,0,1,ByOtherMeans
291,0,18.25,10.0,1,1,Industrials,White,1.0,0,1,1,0,ByBirth
292,1,25.42,0.54,1,1,Industrials,White,0.165,0,1,1,0,ByBirth
293,1,35.75,2.415,1,1,Industrials,White,0.125,0,1,2,0,ByBirth
294,0,16.08,0.335,1,1,Healthcare,Latino,0.0,0,1,1,0,ByBirth
295,0,31.92,3.125,1,1,Healthcare,Latino,3.04,0,1,2,1,ByBirth
296,1,69.17,9.0,1,1,Healthcare,Latino,4.0,0,1,1,0,ByBirth
297,1,32.92,2.5,1,1,ConsumerStaples,White,1.75,0,1,2,1,ByBirth
298,1,16.33,2.75,1,1,ConsumerStaples,White,0.665,0,1,1,0,ByBirth
299,1,22.17,12.125,1,1,Energy,White,3.335,0,1,2,1,ByBirth
300,0,57.58,2.0,1,1,Healthcare,Latino,6.5,0,1,1,0,ByBirth
301,1,18.25,0.165,1,1,Real Estate,White,0.25,0,0,0,1,ByOtherMeans
302,1,23.42,1.0,1,1,Energy,White,0.5,0,0,0,1,ByOtherMeans
303,0,15.92,2.875,1,1,Materials,White,0.085,0,0,0,0,ByBirth
304,0,24.75,13.665,1,1,Materials,Black,1.5,0,0,0,0,ByBirth
305,1,48.75,26.335,0,0,Healthcare,Latino,0.0,1,0,0,1,ByBirth
306,1,23.5,2.75,1,1,Healthcare,Latino,4.5,0,0,0,0,ByBirth
307,1,18.58,10.29,1,1,Healthcare,Latino,0.415,0,0,0,0,ByBirth
308,1,27.75,1.29,1,1,Financials,Black,0.25,0,0,0,1,ByOtherMeans
309,0,31.75,3.0,0,0,Research,Other,0.0,0,0,0,0,ByBirth
310,0,24.83,4.5,1,1,Industrials,White,1.0,0,0,0,1,ByBirth
311,1,19.0,1.75,0,0,Energy,White,2.335,0,0,0,1,ByBirth
312,0,16.33,0.21,1,1,ConsumerStaples,White,0.125,0,0,0,0,ByBirth
313,0,18.58,10.0,1,1,Real Estate,White,0.415,0,0,0,0,ByBirth
314,1,16.25,0.0,0,0,ConsumerStaples,White,0.25,0,0,0,0,ByBirth
315,1,23.0,0.75,1,1,CommunicationServices,White,0.5,1,0,0,1,ByOtherMeans
316,1,21.17,0.25,0,0,Energy,Black,0.25,0,0,0,0,ByBirth
317,1,17.5,22.0,0,1,Healthcare,Other,0.0,0,0,0,1,Temporary
318,1,19.17,0.0,0,0,CommunicationServices,Asian,0.0,0,0,0,1,ByOtherMeans
319,1,36.75,0.125,0,0,Energy,White,1.5,0,0,0,1,ByBirth
320,1,21.25,1.5,1,1,Industrials,White,1.5,0,0,0,0,ByBirth
321,0,18.08,0.375,0,1,InformationTechnology,Latino,10.0,0,0,0,1,ByOtherMeans
322,0,33.67,0.375,1,1,InformationTechnology,White,0.375,0,0,0,0,ByBirth
323,1,48.58,0.205,0,0,Financials,White,0.25,1,1,11,0,ByBirth
324,1,33.67,1.25,1,1,Industrials,White,1.165,0,0,0,0,ByBirth
